Scientific Name,Family,English Common Name,Name (FI),Section,ID,Check,Count,Mazemap route,Cordinates,Aromatic,Crop,Edible,Endangered,Exotic,Flowering,Fragrant,Fruit-bearing,Historical,House plant,Medicinal,Native,Pollinator,Resilient,Dangerous,Seasonal,Striking,Unique,Keep it y/n,Aromaattinen,Viljelykasvi,Syötävä,Uhanalainen,Eksoottinen,Kuukiva,Tuoksuva,Hedelmöivä,Historiallinen,Huonekasvi,Lääkekasvi,Alkuperäinen,Pölyttäjä,Ääriolosuhteet,Vaarallinen,Kausikasvi,Näyttävä,Uniikki,
Citrus × meyeri,,Meyer lemon,meyerinsitruuna,#N/A,,,1,,,,,,,,,,,,"Glossy leaves, fragrant blossom, and edible fruit bring several stages of plant life into one pot, making this an especially satisfying species for home botanists.",,,,,,,,,,,,,,,,,,,"Kiiltävät lehdet, tuoksuvat kukat ja syötävä hedelmä tuo kasvin eri vaiheet yhteen kasvussa, joten tämä on erityisen tyydyttävä laji kotikasvattajille.",,,,,,,,,
Citrus × microcarpa,,Calamondin orange,calamondin,#N/A,,,1,,,,,,,,,,,,"Small glossy leaves, white flowers, and miniature orange fruits create a compact citrus display that combines ornamental and edible interest.",,,,,,,,,,,,,,,,,,,"Pienet kiiltävät lehdet, valkoiset kukat ja miniatiurikukkaset oranssissa värjäytyvät luovat tiivistyneen sitruunan näyttävyyden, joka yhdistää koristellun ja syötävän kiinnostuksen.",,,,,,,,,
Calendula officinalis,,pot marigold,kehäkukka,L-O 	LÃ„Ã„KEKASVI OSASTO,30682,L-O 	LÃ„Ã„KEKASVI OSASTO,1,,,,,,,"Fragaria chiloensis is native to the Pacific coasts of North and South America. Its natural range extends from Alaska to Chile, where it grows in coastal habitats including beaches, dunes, and rocky shorelines.","Calendula officinalis forms bright orange and yellow flowers with thick, slightly curved petals. Each bloom is wide, open, and composed of several layers of petals arranged in a rounded shape.",,,,,"Calendula officinalis has been used in herbal medicine for centuries. Its flowers are harvested and dried for use in teas, tinctures, creams, oils, and ointments prepared for traditional medicinal applications.",,,,,,,,y,,,,,"Fragaria chiloensis on kotoisin Tyynen valtameren rannikoilta Pohjois- ja Etelä-Amerikasta. Sen luonnollinen levinneisyys ulottuu Alaskasta Chileen, missä se kasvaa rannikkoasemissa, hiekkarannoilla ja kalliorannoilla.","Calendula officinalis muodostaa kirkkaan oranssin ja keltaisen kukkien kanssa, joiden paksut, hieman kaarevat terälehdet ovat. Kukka on laaja, avoin ja koostuu useista kerroksista terälehtiä, jotka ovat pyöreän muotoisen muodostuksessa.",,,,,"Calendula officinalis on ollut käytössä perinteisessä lääketieteessä vuosisatoja. Sen kukat kerätään ja kuivataan käytettäväksi teissä, tinktuureissa, kremmeissä, öljyissä ja voiteissa, jotka valmistetaan perinteisistä lääkekasvien soveltamisista.",,,,,,,,
Clivia miniata,,Natal lily,Kliivia,G-HD 	TALVISAT. L. VÃ„LIMEREN ILMASTOALUE,635,G-HD 	TALVISAT. L. VÃ„LIMEREN ILMASTOALUE,1,See under tags,,,,,,,,,,,,,,,,Bright orange flowers and berries; toxic if ingested (pets particularly at risk).,,,,,,,,,,,,,,,,,,,"Keltaiset kukat ja marjat; myrkyllisiä, jos ne syödään sisään (erityisesti koirat ovat riskissä).",,,,
Camellia sinensis,,Tea plant ,Tee kasvi,G-HB 	KESÃ„SATEIDEN ALUE,489,G-HB 	KESÃ„SATEIDEN ALUE,1,,x -126.88  y 8.55,,"Camellia sinensis is an evergreen shrub best known as the plant from which all true tea is made, including green, black, white, and oolong tea. Its young leaves and buds are harvested and processed in different ways to create a wide variety of flavours and drinks. It remains one of the world’s most important crop plants.",,,,,,,"Camellia sinensis is an evergreen shrub native to East Asia that has been cultivated for thousands of years, especially in China and India. It has a long history of cultural, medicinal, and social use, and tea made from its leaves has played an important role in trade routes, traditional ceremonies, and daily life across many Asian societies and beyond.",,,,,,,,,,y,,"Camellia sinensis on evergrinipuina tunnettu pensas, joka tunnetaan parhaiten siitä, että siitä valmistetaan kaikki oikea tee, mukaan lukien vihreä, musta, valkoinen ja oolong tee. Sen nuoret lehdet ja kukinnot kerätään ja käsittelyssä eri tavoin luodakseen laajan valikoiman makuja ja juomia. Se on yksi maailman tärkeimmistä viljelykasveista.",,,,,,,"Camellia sinensis on evergrinipuina tunnettu pensas, joka on kotoisin Itä-Aasiasta ja on ollut viljelty tuhansia vuosia, erityisesti Kiinassa ja Intiassa. Se on ollut pitkään kulttuurisessa, lääketieteellisessä ja sosiaalisessa käytössä, ja tee, joka valmistetaan sen lehtien avulla, on ollut tärkeä osa kauppareittejä, perinteisiä seremonioita ja päivittäistä elämää monilla aasialaisilla yhteisöillä ja laajemminkin.",,,,,,,,,,
Colchicum autumnale,,Autumn crocus,Myrkkysahrami,K-24-4 	VILLIYTYNEITÃ„ PUUTARHAKASVEJA,24569,K-24-4 	VILLIYTYNEITÃ„ PUUTARHAKASVEJA,1,See under tags,,,,,,,,,,,,,,,,Strongly resembles edible herbs; extremely toxic to humans.,,,,,,,,,,,,,,,,,,,Vahvasti muistuttaa syötäviä kasveja; erittäin myrkyllistä ihmisille.,,,,
Campanula rotundifolia,,Harebell,Kissankello,K-16-1 	CA-/ULTRAEMÃ„KSINEN KALLIO,4572,K-16-1 	CA-/ULTRAEMÃ„KSINEN KALLIO,1,,,,,,,,"Campanula rotundifolia blooms from summer into early autumn, producing small, nodding bell-shaped flowers in shades of blue to violet. The flowers appear on thin, upright stems and give the plant a light, scattered flowering pattern across open habitats.",,,,,,"Campanula rotundifolia is native to large parts of Europe, North America, and Asia. It grows naturally in grasslands, coastal areas, rocky slopes, and open forests, especially in nutrient-poor, well-drained soils.","Campanula rotundifolia provides nectar for bees, butterflies, and other insects. Its long flowering period makes it a reliable food source for pollinators in wild meadows and natural grassland ecosystems.","Campanula rotundifolia is a hardy perennial that tolerates poor soils, wind, and cold climates. It thrives in open, exposed habitats where many other flowering plants struggle, making it well adapted to harsh natural environments.",,,"Campanula rotundifolia has a subtle visual presence, with thin stems and small blue bell-shaped flowers that stand out most when growing in groups across open grasslands and rocky areas.",,y,,,,,,"Campanula rotundifolia kukkii kesästä alkukesään tuottamalla pieniä, kellomuotoisia kukkia sinisistä ja violetistä väreistä. Kukat ilmestyvät ohuilla, pystyssä kasvavilla varresta ja antavat kasvulle kevyen, hajallaan kukkivan ilmeen avoimissa asemissa.",,,,,,"Campanula rotundifolia on kotoisin suurilta osilta Euroopasta, Pohjois-Amerikasta ja Aasiasta. Se kasvaa luonnostaan laidunmailla, rannikoilla, kalliosoluilla ja avoimissa metsissä, erityisesti niillä alueilla, joissa maaperä on niukka, hyvin juotava ja hyvin hiekkainen.","Campanula rotundifolia tarjoaa mehutuotteita hyönteisille, kuten mehiläisille, perhosille ja muille hyönteisille. Pitkä kukkivakausi tekee siitä luotettavan ravinnonlähteen hyönteisille avoimissa laidunmailla ja luonnonmukaisissa ruohikkoalueilla.","Campanula rotundifolia on kestävä monivuotinen kasvi, joka kestää huonolaatuisia maaperiä, tuulta ja kylmää ilmastoa. Se kukoistaa avoimissa, altistuneissa asemissa, joissa monet muut kukkivat kasvit eivät kestä, mikä tekee siitä hyvin soveltuvan kovaan luontoon.",,,"Campanula rotundifolia on näyttävän vaalea, sen pystyvarret ovat ohut ja pienet siniset kellomuotoiset kukat, jotka näyttävät parhaalta ryhmissä avoimilla ruohikentillä ja kallioalueilla.",,
Capsicum annuum 'Cayenne',,Cayenne pepper,cayennepippuri,Hyötypuutarha greenhouse,,,1,,,,"Capsicum annuum 'Cayenne' is a cultivar of chili pepper grown for its long, slender, bright red fruits. The peppers are valued for their spicy flavour and are commonly used fresh, dried, or ground into cayenne pepper, a popular seasoning in cuisines around the world.",,,,,,,"Capsicum annuum originated in Central and South America, where chili peppers were domesticated over 6,000 years ago. Following the voyages of the late 15th century, they spread rapidly across Europe, Africa, and Asia, becoming an essential ingredient in many of the world's cuisines.",,,,,,,,,"Capsicum annuum 'Cayenne' gets its heat from capsaicin, a natural compound that deters mammals from eating the fruit while not affecting birds, which help disperse the seeds. This adaptation has contributed to the widespread success of chili peppers in nature.",y,,"Capsicum annuum 'Cayenne' on chilijalostuma, joka tunnetaan pitkistä, ohuista, kirkkaan punaisista hedelmistään. Hedelmiä arvostetaan makeasta makuistaan ja ne käytetään yleisesti raakoina, kuivattuina tai mausteksi, jota käytetään laajasti maailman keittiöissä.",,,,,,,"Capsicum annuum alkoi keskisessä ja eteläisessä Amerikassa, missä chilijalostumia kasvatettiin noin 6 000 vuotta sitten. 1500-luvun lopulla tehtyjen matkustusten jälkeen ne levisivät nopeasti Eurooppaan, Afrikkaan ja Aasiaan, ja ne tuli oleellinen osa monien maailman keittiöiden.",,,,,,,,,"Capsicum annuum 'Cayenne' saa kuumuutensa kapsaisiinista, luonnostaan olevasta yhdistelmästä, joka estää nisäkkäitä syömästä hedelmää, mutta ei vaikuta lintuihin, jotka avustavat siemenen levittämistä. Tämä sopeutuminen on ollut yksi chilijalostumien laajasta menestyksestä luonnossa.",
Convallaria majalis,,Lily of the valley,Kielo,H-11 	TUOKSUAINEKASVIT,695,H-11 	TUOKSUAINEKASVIT,2,See under tags,,,,,,,,,,,,,,,,Familiar fragrant plant with red berries; highly toxic to humans and pets.,,,,,,,,,,,,,,,,,,,"Tunnustettu tuoksuvaa kasvia, jolla punaisia marjoja; erittäin myrkyllistä ihmisille ja eläimille.",,,,
Ceratonia siliqua,Fabaceae,Carob tree,Johanneksenleipäpuu,G-HD 	TALVISAT. L. VÃ„LIMEREN ILMASTOALUE,3544,G-HD 	TALVISAT. L. VÃ„LIMEREN ILMASTOALUE,1,,x -157.03  y -3.19,,"Ceratonia siliqua, commonly known as carob, is an evergreen Mediterranean tree cultivated as a crop for its long pods. It is grown in dry regions and valued for its ability to produce food and feed products in poor, rocky soils.","Ceratonia siliqua produces edible pods with sweet pulp and hard seeds. The pulp is eaten fresh or ground into powder, often used as a natural sweetener and chocolate substitute in baking, drinks, and traditional foods.",,,,,,Ceratonia siliqua has been cultivated for thousands of years in the Mediterranean region. Its pods were historically used as food for people and livestock and later became important in trade as a natural sweet ingredient.,,,,,"Ceratonia siliqua is highly drought-tolerant and well adapted to dry, rocky soils. Its deep root system allows it to survive harsh Mediterranean climates, making it a reliable crop in regions with limited water availability.",,,,,y,,"Ceratonia siliqua, jota kutsutaan yleisesti karamelliksi, on evergrininen Välimeren puu, jota kasvatetaan viljeltyä kasvina pitkille kuorille. Se kasvaa kuivilla alueilla ja arvostetaan kyvystään tuottaa ruokaa ja rehukelpoisia tuotteita huonossa, kallioisessa maaperässä.","Ceratonia siliqua tuottaa syötäviä kuoria makealla palkilla ja kovilla siemenillä. Palkki syödään raakoina tai maustetaan jauheeksi, jota käytetään yleisesti luonnollisena makeutusaineena ja suklaan korvikkeena leivonnaisissa, juomissa ja perinteisissä ruokailuissa.",,,,,,"Ceratonia siliqua on kasvatettu tuhansia vuosia Välimeren alueella. Kuoria käytettiin historiallisesti ruokana ihmisille ja eläimille, ja myöhemmin ne tuli tärkeäksi kaupankäynnin kohteeksi luonnollisena makeutusaineena.",,,,,"Ceratonia siliqua on hyvin kuivuustolerantti ja sopeutunut kuiville, kallioisille maaperille. Sen syvä juuristo sallii sen selviytymisen ankarammilla Välimeren ilmastoilla, joten se on luotettava viljelykasvi alueilla, joilla vettä on rajoitettu.",,,,,
Cerbera odollam,,Suicide tree,Itsemurhapuu,G-HA TROOPPINEN HUONE,,G-HA TROOPPINEN HUONE,1,,,,,,,,,,,"Cerbera odollam is a tropical tree native to South and Southeast Asia, often found in coastal forests and mangrove areas. Historically, it has been associated with both accidental and intentional poisonings in regions such as India and Madagascar, giving it a notable place in local folklore and historical records.",,,,,,"Cerbera odollam, commonly known as the suicide tree, is highly dangerous because it produces seeds containing powerful cardiac toxins called cerberin. These compounds interfere with heart function and can be fatal if ingested, even in small amounts. All parts of the plant are considered toxic, despite its attractive appearance and fragrant flowers.",,,,y,,,,,,,,,"Cerbera odollam on trooppinen puu, joka on kotoisin Etelä- ja Kaakkois-Aasiasta, ja sitä tavataan yleisesti rannikkometsissä ja mangrovealueilla. Se on historiallisesti liittynyt sekä sattumanvaraiseen että tahallisesti tapahtuneisiin myrkytyksiin alueilla kuten Intiassa ja Madagaskarissa, joten se on saanut mainetta paikallisessa kansanperinteessä ja historiallisissa kirjoituksissa.",,,,,,"Cerbera odollam, jota kutsutaan yleisesti itsemurhakasviksi, on erittäin vaarallinen, koska sen siemenet sisältävät voimakkaita sydänmyrkyksiä nimeltä cerberiini. Näitä yhdisteitä häiritsee sydänkäyttäytymistä, ja ne voivat olla kuolemaa aiheuttavia, vaikka niitä syödään pieninä määrinä. Kasvin kaikki osat ovat myrkyllisiä, vaikka se on kaunis ulkonäöllä ja tuoksuu hienosti.",,,,
Cercidiphyllum japonicum,,Katsura tree,(pikkulehti)katsura,G-HE 	LAUHKEA,,,1,,,,,,,,,"As the leaves fall in autumn, Cercidiphyllum japonicum releases a distinctive sweet scent often compared to caramel, burnt sugar, or cotton candy. This unusual fragrance is one of the tree's most celebrated characteristics.",,"Cercidiphyllum japonicum has been cultivated in Japan for centuries and was introduced to Europe during the 19th century through botanical expeditions. Today it is widely planted in parks and arboretums, where it is admired for its exceptional autumn colour and distinctive fragrance.",,,,,,,yes,"Cercidiphyllum japonicum, native to Japan and China, has heart-shaped leaves that emerge reddish-purple in spring, turn blue-green in summer, and develop brilliant yellow, orange, and red colours in autumn. Its seasonal foliage makes it one of the finest ornamental trees for autumn colour.",,y,,,,,,,"Kun lehdet putoavat syksyllä, Cercidiphyllum japonicum vapauttaa erityisen makean tuoksun, jota verrataan karamelliin, polttamiseen tai sokeriin. Tämä epätavallinen tuoksu",,"Cercidiphyllum japonicum on ollut kasvatettu Japanissa vuosisatoja ja se tuotiin Eurooppaan 19. vuosisadalla kasvitieteellisillä retkillä. Nykyään se on laajasti kasvatettu puistoissa ja arboretumeissa, missä se arvostellaan erityisesti syysvärinsä ja erikoisen tuoksunsa vuoksi.",,,,,,,Kyllä,"Cercidiphyllum japonicum on kotoisin Japanista ja Kiinasta, ja sen lehdet ovat sydänmuotoisia. Niiden alkuperäinen väri on punertavan purppuranväristä, kesäisin ne muuttuvat sinertävän vihreiksi, ja syksyisin ne kehittyvät loisteliaita keltaisia, oransseja ja punaisia värejä. Kausivärisyys tekee siitä yhtenä kauneimmista koristepuista syysvärisyden vuoksi.",,
Crassula Ovata,,Jade plant,Rahapuu,,2394,G-HF 	SUKKULENTIT,1,,,,,,,,,,,,"Crassula ovata is a classic indoor succulent with thick, glossy jade-green leaves and a naturally branching, tree-like form. Its sculptural shape and slow growth make it a long-lasting houseplant often lasting 50-100 years.",,,,,,,,,,,,,,,,,,,"Crassula ovata on klassinen sisäkasvi, jolla on paksut, kiiltävän jade-vihreät lehdet ja luonnollisesti haarautuva, puumainen muoto. Sen skulptuurinen muoto ja hitaakasvu tekevät siitä pitkäikäisen sisäkasvin, joka kestää usein 50-100 vuotta.",,,,,,,,,
Crotalaria spp.,,Rattlepod,Rättikasvi,#N/A,,,1,See under tags,,,,,,,,,,,,,,,,Seed pods resemble edible legumes; toxic compounds harmful to humans and animals.,,,,,,,,,,,,,,,,,,,"Siemenpussit muistuttavat syötävää pähkinää; niissä on myrkyllisiä aineita, jotka ovat haitallisia ihmisten ja eläinten terveydelle.",,,,
Cereus jamacaru 'Monstrosus',,Monstrose mandacaru cactus,Sinikalliokaktus,G-HF 	SUKKULENTIT,5135,G-HF 	SUKKULENTIT,1,,x -155.12  y -7.84,,,,,,,,,,"Cereus jamacaru 'Monstrosus', originating from the Brazilian species Cereus jamacaru, is grown as a houseplant for its unusual sculptural form. It thrives in bright light, requires well-drained soil, and needs only occasional watering.",,,,"Cereus jamacaru 'Monstrosus' stores water in its thick stems, allowing it to tolerate long periods of drought. It is a durable cactus that requires little maintenance when provided with plenty of sunlight.",,,,"Cereus jamacaru 'Monstrosus' is a monstrose cultivar, meaning its stems grow in irregular, unpredictable shapes rather than the straight columns of the wild species. No two plants develop exactly alike, making each specimen unique.",y,,,,,,,,,,"Cereus jamacaru 'Monstrosus', joka on peräisin brasilialaisesta lajista Cereus jamacaru, kasvatetaan sisäkasviksi sen epätavallisen skulptuurisen muodon vuoksi. Se kestää hyvin valoa, vaatii hyvin puhdistettua maata ja tarvitsee vain harvoin vesityötä.",,,,"Cereus jamacaru 'Monstrosus' säilyttää vettä paksuissa oksissaan, mikä mahdollistaa pitkiä kuivuusjaksoja. Se on kestävä kaktus, joka vaatii vähän huoltoa, kun se on saatu tarpeeksi valoa.",,,,"Cereus jamacaru 'Monstrosus' on monstrose-lajike, mikä tarkoittaa, että sen oksat kasvavat epätavallisen muodon sijaan suoraan, säännöllisesti. Ei kaksi kasvia kehity eri tavoin, mikä tekee jokaisen yksilön yksilölliseksi.",
Cycas revoluta,,Sago palm,Käpypalmu,G-HB 	KESÃ„SATEIDEN ALUE,4919,G-HB 	KESÃ„SATEIDEN ALUE,1,See under tags,,,,,,,,,,,,,,,,"Popular ornamental palm-like plant; highly toxic, especially to pets.",,,,,,,,,,,,,,,,,,,"Populaarinen koristekasvi, joka muistuttaa palmua; erityisen myrkyllinen, erityisesti eläimille.",,,,
Chaenomeles japonica,,Japanese quince,japaninruusukvitteni,P-A 	,13452,P-A 	,1,,,,,,,Chaenomeles japonica originates from East Asia and is grown in Finland as an ornamental and fruiting shrub. It is not native but is widely used in gardens for its early flowering and decorative fruits.,"Chaenomeles japonica produces vivid orange to red flowers in early spring, often appearing before the leaves fully develop. The blooms are densely packed along the branches and create a strong seasonal display.",,"Chaenomeles japonica produces small, yellow, apple-like fruits in autumn. The fruits are very hard and sour when raw but can be used after processing in jams, jellies, and preserves.",,,,,,,,,,,y,,,,,"Chaenomeles japonica on kotoisin Itä-Aasiasta ja kasvatetaan Suomessa koristekasvina ja hedelmäkasvina. Se ei ole kotoisin, mutta se on laajasti käytetty puutarhoissa sen varhaisen kukinnan ja koristehedelmien vuoksi.","Chaenomeles japonica tuottaa voimakasta syksyistä kausivärisydestä, jonka aikana se tuottaa kirkkaan oranssin ja punertavan värisiä kukkia. Niitä on tiiviisti kasvettu oksilla, mikä luodaan voimakas kausivärisyden näyttävyys.",,"Chaenomeles japonica tuottaa pieniä, keltaisia, omenanmuotoisia hedelmiä syksyllä. Hedelmät ovat hyvin kovia ja hapania raakana, mutta ne voidaan käyttää jälkiruoissa, kuten marmeladissa, jellissä ja konservoissa.",,,,,,,,,,,
Chamaedorea elegans,,Parlor palm,vuoripalmu,G-HA 	TROOPPINEN HUONE,2649,G-HA 	TROOPPINEN HUONE,1,,,,,,,,,,,,"The Parlor Palm adds timeless elegance to indoor spaces with its delicate, feathery fronds and compact form. Its lush tropical appearance softens any room while thriving with minimal care",,,,,,,,,y,,,,,,,,,,"Salongipalmi tuo aikamaton kauneuden sisätiloihin sen pehmeiden, höyhenmäisten lehtien ja kompaktin muodon ansiosta. Sen runsas trooppinen ulkonäkö pehmentää minkä tahansa huoneen ja kestää vähäistä huolenpitoa.",,,,,,,,,
Daphne mezereum,,Mezereon,Näsiä,K-6-2 	TUORE JA KOSTEA LEHTO,772,K-6-2 	TUORE JA KOSTEA LEHTO,1,See under tags,,,,,,,,,,,,,,,,Beautiful pink flowers and red berries; extremely poisonous to humans.,,,,,,,,,,,,,,,,,,,Kaunis pinkkiä kukkia ja punaisia marjoja; erittäin myrkyllisiä ihmisille.,,,,
Datura spp.,,Thorn apple,Hulluruoho,#N/A,,,1,See under tags,,,,,,,,,,,,,,,,Contains psychoactive toxins; highly dangerous to humans.,,,,,,,,,,,,,,,,,,,Sisältää psykoaktiivisia myrkkyjä; erittäin vaarallisia ihmisille.,,,,
Datura stramonium,,Thorn apple,Hulluruoho,L-O 	LÃ„Ã„KEKASVI OSASTO,53942,L-O 	LÃ„Ã„KEKASVI OSASTO,2,See under tags,,,,,,,,,,,,,,,,Unusual spiky fruit draws attention; extremely toxic to humans.,,,,,,,,,,,,,,,,,,,Epätavallinen piikkinen hedelmä saa huomiota; erittäin myrkyllistä ihmisille.,,,,
Delphinium spp.,,Larkspur,Ritarinkannus,#N/A,,,1,See under tags,,,,,,,,,,,,,,,,"Tall, colourful flowers; toxic to humans and animals.",,,,,,,,,,,,,,,,,,,"Korkea, värikäs kukka; myrkyllistä ihmisille ja eläimille.",,,,
Chenopodium quinoa,,quinoa,kvinoa,Hyötypuutarha,,,1,,,,"Chenopodium quinoa is cultivated as a grain crop grown for its edible seeds. It thrives in high-altitude regions of South America and produces small, nutrient-rich seeds that are harvested after the flowering and drying of the plant.","Chenopodium quinoa produces edible seeds that are cooked and eaten like grains. They are valued for their mild flavour and high nutritional content, and are used in salads, porridges, and a wide variety of modern dishes worldwide.",,,,,,Chenopodium quinoa has been cultivated for thousands of years in the Andean region of South America. It was a staple food for ancient civilizations such as the Incas and remains an important traditional and modern crop today.,,,,,,,,,,y,,"Chenopodium quinoa kasvatetaan viljelykasviksi sen syötäviksi siitepölyksiä. Se kasvaa korkealla alueella Etelä-Amerikassa ja tuottaa pieniä, ravitsevia siitepölyjä, jotka kerätään kasvin kukkimisen ja kuivumisen jälkeen.","Chenopodium quinoa tuottaa syötäviä siitepölyjä, jotka valmistetaan ja syödään kuten viljaa. Ne arvostellaan miedon makunsa ja korkean ravitsemusten sisällön vuoksi, ja ne käytetään salaatissa, porridgeissa ja laajalla alueella modernissa ruoassa maailmalla.",,,,,,"Chenopodium quinoa on kasvatettu tuhansia vuosia Etelä-Amerikan Andien alueella. Se oli muinaisten sivilisaatioiden perustuotteena, kuten inkakulttuurin, ja on tärkeä perinteinen ja nykyinen viljelykasvi tänään.",,,,,,,,,,
Cinnamomum zeylanicum,,True cinnamon,Aitokaneli,G-HA 	TROOPPINEN HUONE,48854,G-HA 	TROOPPINEN HUONE,1,,x -126.68  y 14.69,"Cinnamomum zeylanicum is highly aromatic due to its inner bark, which releases a sweet, warm scent when dried or ground. This fragrance is a key reason for its use in flavourings, teas, perfumes, and culinary applications.","Cinnamomum zeylanicum, commonly known as Ceylon cinnamon, is an evergreen tree cultivated as a spice crop. It is grown in tropical climates, especially in Sri Lanka and southern India, for its aromatic inner bark used in food production.","Cinnamomum zeylanicum produces edible spice from its dried inner bark, which is rolled into cinnamon sticks or ground into powder. It is used worldwide in cooking, baking, and beverages for its sweet, mild, and aromatic flavour.",,,,,,Cinnamomum zeylanicum has been cultivated for thousands of years in Sri Lanka and southern India. It was an important spice in ancient trade networks and remains historically significant in global cuisine and traditional medicine.,,,,,,,,,,y,"Cinnamomum zeylanicum on hyvin hajusteinen sen sisäpuolen oksan vuoksi, joka vapauttaa makean, lämmintä tuoksua kuivatessa tai murskautuessa. Tämä tuoksu on tärkeä syy sen käyttöön maustein, teissä, parfyumeissa ja ruoanvalmistuksessa.","Cinnamomum zeylanicum, jota kutsutaan yleisesti Ceylonin kaneliksi, on kausi- ja kookospalmu, joka kasvatetaan maustekasviksi. Se kasvaa trooppisissa ilmastoissa, erityisesti Sri Lankassa ja etelä-Intiassa, sen hajusteisen sisäpuolen oksan vuoksi, jota käytetään ruoanvalmistuksessa.","Cinnamomum zeylanicum tuottaa syötävää maustetta sen kuivattujen sisäpuolen oksien vuoksi, jotka roikotetaan kanelirippeiksi tai murskataan jauheeksi. Se käytetään maailmanlaajuisesti ruoanvalmistuksessa, leivonnassa ja juomissa sen makean, miedon ja hajusteisen makuun.",,,,,,Cinnamomum zeylanicum on kasvatettu tuhansia vuosia Sri Lankassa ja etelä-Intiassa. Se oli tärkeä mauste muinaisten kaupan verkoissa ja on historiallisesti merkittävä maailmanruokakulttuurissa ja perinteisessä lääketieteessä.,,,,,,,,,,
Digitalis purpurea,,Foxglove,Sormustinkukka,K-24-4 	VILLIYTYNEITÃ„ PUUTARHAKASVEJA,48899,K-24-4 	VILLIYTYNEITÃ„ PUUTARHAKASVEJA,1,See under tags,,,,,,,,,,,,,,,,Tall ornamental flowers widely admired; contains powerful cardiac toxins dangerous to humans.,,,,,,,,,,,,,,,,,,,"Korkeita koristekukkia, joissa on voimakkaita sydänlihastuotteita, jotka ovat vaarallisia ihmisille.",,,,
Digitalis spp.,,Foxglove,Sormustinkukka,#N/A,,,1,See under tags,,,,,,,,,,,,,,,,Strong cardiac toxins – dangerous to humans and pets even in small amounts.,,,,,,,,,,,,,,,,,,,"Voimakkaita sydänlihastuotteita, jotka ovat vaarallisia myös pienissä määrissä ihmisille ja eläimille.",,,,
Citrus aurantium,,bitter orange,Pomeranssi,G-HB 	KESÃ„SATEIDEN ALUE,,,1,,x -156.70  y -1.85,"Citrus aurantium is prized for its intensely fragrant flowers, leaves, and peel. Their essential oils are used to produce neroli oil, petitgrain oil, and orange blossom water, making the plant an important source of natural fragrances.",,"Citrus aurantium is widely used to make marmalade, candied peel, orange blossom water, and flavourings. Although the fruit is too bitter to eat fresh for most people, it is highly valued in cooking and confectionery.",,,,,"Citrus aurantium, native to Southeast Asia, produces round orange fruits with a thick, aromatic peel and sour, bitter flesh. The fruits are harvested mainly for processing rather than eating fresh.",,,"Citrus aurantium has been used in traditional medicine for centuries, particularly its peel and flowers. Today, extracts are also used in herbal remedies and dietary supplements, though their effectiveness and safety are still being researched.",,,,,,,,y,"Citrus aurantium on arvostettu sen intensiivisesti tuoksuvat kukat, lehdet ja kuori. Niiden peräisin olevat oljepitoiset aineet käytetään neroliöljyn, petitgrainöljyn ja oranssin kukkien veden valmistukseen, tekemällä kasvista tärkeän luonnon tuoksuaineiden lähde.",,"Citrus aurantium on laajasti käytetty marmeladin, kandysokerin, oranssin kukkien veden ja mausteen valmistukseen. Vaikka hedelmä on liian katkera syötäväksi pääosin, se on arvostettu ruoanlaitossa ja makeisissa.",,,,,"Citrus aurantium on alkuperäisesti Kaakkois-Aasiasta kotoisin oleva kasvi, joka tuottaa pyöreitä oranssia hedelmiä, jotka ovat paksulla, tuoksuvoimaisella kuorella ja happamalla, katkeralla sisällöllä. Hedelmiä käytetään pääosin prosessointiin eikä niitä syödä suoraan.",,,"Citrus aurantium on ollut perinteisessä lääketieteessä käytössä vuosisatoja, erityisesti sen kuorta ja kukkia käytetään. Nykyään, eritteitä käytetään myös luonnonparantolääkkeissä ja ravitsemuslisäkkeissä, vaikka niiden tehokkuus ja turvallisuus tutkitaan edelleen.",,,,,,,,
Dracaena fragrans,,Corn plant,Tuoksutraakkipuu,G-HA 	TROOPPINEN HUONE,2955,G-HA 	TROOPPINEN HUONE,1,See under tags,,,,,,,,,,,,,,,,Widely used indoor plant; ingestion harmful mainly for pets.,,,,,,,,,,,,,,,,,,,Laajasti käytetty sisäkasvi; myrkkyllisyys vaarantaa pääasiassa eläimiä.,,,,
Dracaena sanderiana,,Lucky bamboo,onnenbambu,#N/A,,,1,,,,,,,,,,,,"Smooth green stems and narrow upright leaves create a calm, minimal look, and the plant is interesting for how often stem training and shaping are used in decorative culture.",,,,,,,,,,,,,,,,,,,"Suoraan vihreät rungot ja kapeat, pysty lehdet luovat rauhallisen, minimalistisen ilmeen, ja kasvia on kiinnostavaa, miten usein runkojen kouluttaminen ja muotoilu käytetään koristekulttuurissa.",,,,,,,,,
